Product Name,Price,Phone_Status
Apple iPhone 13 Pro Max 128 GB | Midnight - For Parts Only - Grade A,$410.00,Parts Only
Apple iPhone 13 Pro Max - 128GB - All Colors - Unlocked - Excellent Condition,"$1,150.00",Open Box
New ListingApple iPhone 13 Pro Max - 256GB - Graphite (Verizon),$855.00,Pre-Owned
Apple iPhone 13 Pro Max - 256GB - Graphite (Unlocked) A2484 (CDMA + GSM),$700.00,Pre-Owned
Apple iPhone 13 Pro Max - 256GB - Gold (T-Mobile),$500.00,Pre-Owned
Apple iPhone 13 Pro Max - 1TB - Graphite (AT&T),$844.00,Pre-Owned
Apple iPhone 13 Pro Max 128 GB | Sierra Blue - For Parts Only,$549.99,Pre-Owned
New ListingApple iPhone 13 Pro Max - 128GB - Graphite (Unlocked) A2484 (CDMA + GSM),$850.00,Pre-Owned
Apple iPhone 13 Pro Max - 128GB - Sierra Blue (Verizon),$750.00,Pre-Owned
Apple iPhone 13 Pro Max 128gb Graphite Used Perfect Condition,$820.00,Pre-Owned
Apple iPhone 13 Pro Max - 256GB - Sierra Blue (Verizon),$819.00,Pre-Owned
Apple iPhone 13 Pro Max 5G 128GB Silver - (Unlocked) A2484 Open Box Condition,$879.00,Open Box
iPhone 13 Pro Max 512GB - AT&T,$900.00,Pre-Owned
Custom iPhone 13 Pro Max 1 TB with Diamond Bezel and 24k Gold Plated Back,"$3,999.00",Open Box
New ListingApple iPhone 13 Pro Max - 512GB - Silver (Unlocked),$809.00,Pre-Owned
Apple iPhone 13 Pro Max - 256GB - Silver (AT&T) (READ DESCRIPTION!!),$200.00,Parts Only
Apple iPhone 13 Pro Max - 128GB - Graphite (AT&T),$678.00,Pre-Owned
Apple iPhone 13 Pro Max - 256GB - Gold (Unlocked),"$1,199.99",Pre-Owned
"Apple iPhone 13 Pro Max silver 6.7"" A2644 REAL Dual Sim 512GB Phone NEW","$1,897.84",Brand New
Apple iPhone 13 Pro Max 128gb White AT&T Network Locked,$900.00,Open Box
Apple iPhone 13 Pro Max - 512GB - Graphite (Unlocked) A2484 (CDMA + GSM),"$3,200.00",Pre-Owned
